company_name,rating,reviews,company_type,headquarters,years_old,emp_count
Jet Airways,4.6,1.1k,Public,Mumbai +45 more,31 years old,201-500 Employees
Bajaj Capital,4,1.1k,Public,Delhi/NCR +146 more,60 years old,1k-5k Employees
Oracle Financial Services Software,3.7,1.1k,Public,Mumbai +18 more,34 years old,10k-50k Employees
Pantaloons,4.2,1.1k,Public,Mumbai +142 more,27 years old,5k-10k Employees
Satin Creditcare Network,4.1,1.1k,Public,Gurgaon/Gurugram +237 more,34 years old,5k-10k Employees
Inox Leisure,4.1,1.1k,Public,Mumbai +86 more,25 years old,1k-5k Employees
Biocon Limited,3.9,1.1k,Public,Bangalore Rural +48 more,46 years old,5k-10k Employees
Akzo Nobel India,4.2,1.1k,Public,Amsterdam +128 more,85 years old,1k-5k Employees
Adani Group,3.9,1.1k,Public,Ahmedabad +123 more,36 years old,10k-50k Employees
TTEC India,3.8,1.1k,Public,Englewood +25 more,40 years old,1k-5k Employees
J. Kumar Infraprojects,4.1,1.1k,Public,Mumbai +30 more,44 years old,5k-10k Employees
Supreme Industries,4.2,1.1k,Public,Mumbai +92 more,82 years old,5k-10k Employees
Asahi India Glass,3.9,1.1k,Public,Gurgaon/Gurugram +66 more,40 years old,1k-5k Employees
Ashoka Buildcon,4.1,1.1k,Public,Nasik/Nashik +132 more,48 years old,1k-5k Employees
ITD Cementation India,4.3,1.1k,Public,Mumbai +67 more,93 years old,1k-5k Employees
Jindal X,3.5,1.1k,Public,New Delhi +20 more,25 years old,1k-5k Employees
Godrej Group,4,1.1k,Public,Mumbai +116 more,127 years old,10k-50k Employees
Shadowfax Technologies,3.7,1.1k,Public,Bangalore +160 more,9 years old,1k-5k Employees
Granules India,3.9,1.1k,Public,Hyderabad/Secunderabad +16 more,40 years old,1k-5k Employees
Heritage Foods,4.1,1.1k,Public,Hyderabad/Secunderabad +94 more,32 years old,1k-5k Employees
GMR Group,4.1,1.1k,Public,Delhi/NCR +56 more,46 years old,10k-50k Employees
